"country","SteamUsersTotal2021"
"India",968894
"China",11430965
"United States",13667262
"Indonesia",1445533
"Pakistan",203846
"Nigeria",52089
"Brazil",4918088
"Bangladesh",83561
"Russia",9495656
"Ethiopia",27545
"Mexico",1027159
"Japan",1607940
"Egypt",163761
"Philippines",2079800
"DR Congo",62650
"Vietnam",603016
"Iran",174654
"Turkey",2797554
"Germany",3611729
"Thailand",1210221
"United Kingdom",2554985
"Tanzania",21213
"France",2788899
"South Africa",238777
"Italy",1078601
"Kenya",30021
"Myanmar",100296
"Colombia",468469
"South Korea",1529243
"Sudan",11778
"Uganda",89064
"Spain",1184418
"Algeria",206921
"Iraq",96102
"Argentina",1323711
"Afghanistan",372675
"Yemen",22532
"Canada",3020258
"Poland",2448159
"Morocco",86463
"Angola",64811
"Ukraine",2001594
"Uzbekistan",83418
"Malaysia",738328
"Mozambique",13032
"Ghana",29945
"Peru",821752
"Saudi Arabia",146281
"Madagascar",38295
"Ivory Coast",22026
"Nepal",42953
"Cameroon",26130
"Venezuela",263434
"Niger",140998
"Australia",1445073
"North Korea",103981
"Syria",40812
"Mali",9581
"Burkina Faso",21277
"Taiwan",593947
"Sri Lanka",43206
"Malawi",12503
"Zambia",33587
"Kazakhstan",557108
"Chad",33351
"Chile",1015939
"Romania",1031768
"Somalia",29031
"Senegal",11067
"Guatemala",63702
"Netherlands",737779
"Ecuador",160551
"Cambodia",56472
"Zimbabwe",120850
"Guinea",14324
"Benin",16458
"Rwanda",10471
"Burundi",16110
"Bolivia",108374
"Tunisia",65630
"South Sudan",4167
"Haiti",23958
"Belgium",500440
"Jordan",63823
"Dominican Republic",65551
"United Arab Emirates",130136
"Cuba",77647
"Honduras",63902
"Czech Republic",628103
"Sweden",945992
"Tajikistan",30522
"Papua New Guinea",12829
"Portugal",729550
"Azerbaijan",116665
"Greece",361236
"Hungary",501384
"Togo",12540
"Israel",217667
"Austria",377311
"Belarus",585037
"Switzerland",308425
"Sierra Leone",10253
"Laos",26509
"Turkmenistan",17758
"Hong Kong",320515
"Libya",19710
"Kyrgyzstan",67758
"Paraguay",45859
"Nicaragua",20486
"Bulgaria",222292
"Serbia",268129
"El Salvador",47533
"Denmark",634123
"Singapore",272648
"Lebanon",54488
"Finland",462793
"Liberia",11641
"Norway",539220
"Slovakia",257257
"Central African Republic",28307
"Oman",27267
"Ireland",190536
"New Zealand",263839
"Mauritania",4021
"Costa Rica",100160
"Kuwait",43487
"Panama",58275
"Croatia",169770
"Georgia",132419
"Eritrea",12556
"Mongolia",134403
"Uruguay",108517
"Puerto Rico",52089
"Bosnia and Herzegovina",131478
"Qatar",34064
"Moldova",89672
"Namibia",13543
"Armenia",111078
"Lithuania",235219
"Jamaica",81401
"Albania",178328
"Gambia",14596
"Gabon",21895
"Botswana",23691
"Lesotho",10168
"Guinea-Bissau",12234
"Slovenia",75542
"Equatorial Guinea",12527
"Latvia",172506
"North Macedonia",65604
"Bahrain",24818
"Trinidad and Tobago",21946
"Timor-Leste",4756
"Estonia",172148
"Cyprus",46355
"Mauritius",16786
"Djibouti",25968
"Fiji",51154
"Reunion",27734
"Comoros",12572
"Guyana",15068
"Solomon Islands",5942
"Bhutan",23786
"Macau",29821
"Luxembourg",63445
"Montenegro",23116
"Suriname",7953
"Western Sahara",12917
"Malta",23797
"Maldives",14617
"Cape Verde",17928
"Brunei",24185
"Belize",22523
"Bahamas",55631
"Iceland",75583
"Guadeloupe",17980
"Martinique",8661
"Vanuatu",8518
"Mayotte",4718
"French Guiana",14341
"Barbados",23084
"French Polynesia",13702
"Samoa",6569
"Curacao",10227
"Saint Lucia",11039
"Guam",17041
"Kiribati",11826
"Seychelles",6746
"Grenada",14044
"Micronesia",8334
"Aruba",45947
"Tonga",7426
"Jersey",13614
"Saint Vincent and the Grenadines",8641
"Antigua and Barbuda",35350
"United States Virgin Islands",80025
"Isle of Man",27916
"Andorra",62334
"Cayman Islands",15902
"Dominica",23362
"Bermuda",23489
"Guernsey",12036
"Greenland",29108
"Faroe Islands",29276
"Saint Kitts and Nevis",7412
"American Samoa",96110
"Turks and Caicos Islands",7995
"Northern Mariana Islands",10223
"Sint Maarten",3827
"Liechtenstein",16963
"British Virgin Islands",22903
"Gibraltar",14565
"Monaco",34650
"Marshall Islands",5630
"San Marino",12172
"Palau",8424
"Anguilla",31541
"Cook Islands",30362
"Nauru",5965
"Wallis and Futuna",9537
"Saint Barthelemy",8091
"Tuvalu",7648
"Saint Pierre and Miquelon",5320
"Falkland Islands",16750
"Tokelau",5228
"Niue",7993
"Vatican City",57962